presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 1 | hr: 42 → 41 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 1 | systolic: 70 → 69 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 1 | diastolic: 60 → 61 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 1 | spo2: 88 → 89 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 2 | hr: 44 → 45 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 2 | systolic: 60 → 61 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 2 | diastolic: 40 → 39 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 2 | spo2: 89 → 90 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 3 | spo2: 90 → 89 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 3 | etco2: 20 → 21 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 3 | rr: 10 → 11 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 4 | spo2: 98 → 97 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 4 | etco2: 20 → 21 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 4 | rr: 10 → 9 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 5 | hr: 70 → 71 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 5 | systolic: 92 → 91 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 5 | diastolic: 68 → 69 (+1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 5 | spo2: 97 → 96 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 5 | etco2: 42 → 41 (-1)
presetScenarios.ts | ACLS 1 — Bradicardia Inestable | Paso 5 | rr: 22 → 23 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 1 | hr: 184 → 185 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 1 | systolic: 110 → 109 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 1 | diastolic: 60 → 59 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 1 | spo2: 96 → 95 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 2 | spo2: 94 → 95 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 3 | hr: 190 → 189 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 3 | spo2: 92 → 93 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 3 | etco2: 9 → 10 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 3 | rr: 10 → 11 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 4 | spo2: 95 → 94 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 4 | etco2: 12 → 11 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 4 | rr: 11 → 12 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 5 | spo2: 97 → 98 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 5 | etco2: 22 → 23 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 5 | rr: 10 → 11 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 6 | hr: 118 → 119 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 6 | systolic: 98 → 99 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 6 | diastolic: 74 → 75 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 6 | spo2: 99 → 100 (+1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 6 | etco2: 40 → 39 (-1)
presetScenarios.ts | ACLS 2 — TSV Estable | Paso 6 | rr: 18 → 19 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 1 | hr: 172 → 173 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 1 | systolic: 68 → 67 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 1 | diastolic: 52 → 53 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 1 | spo2: 78 → 77 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 2 | spo2: 94 → 95 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 2 | etco2: 18 → 17 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 2 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 3 | spo2: 92 → 93 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 3 | etco2: 4 → 3 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 3 | rr: 10 → 9 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 4 | hr: 198 → 197 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 4 | systolic: 47 → 46 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 4 | diastolic: 22 → 23 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 4 | spo2: 92 → 91 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 4 | etco2: 24 → 23 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 4 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 5 | hr: 109 → 110 (+1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 5 | systolic: 68 → 67 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 5 | diastolic: 52 → 51 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 5 | spo2: 97 → 96 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 5 | etco2: 42 → 41 (-1)
presetScenarios.ts | ACLS 3 — TSV Inestable | Paso 5 | rr: 8 → 7 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 1 | hr: 182 → 181 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 1 | systolic: 70 → 69 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 1 | diastolic: 60 → 61 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 1 | spo2: 88 → 89 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 2 | spo2: 90 → 91 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 2 | etco2: 18 → 19 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 2 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 3 | hr: 128 → 127 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 3 | systolic: 94 → 95 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 3 | diastolic: 70 → 69 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 3 | spo2: 99 → 98 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 3 | etco2: 42 → 43 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 3 | rr: 24 → 23 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 4 | hr: 98 → 97 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 4 | systolic: 118 → 119 (+1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 4 | diastolic: 84 → 83 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 4 | spo2: 100 → 100 (0)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 4 | etco2: 43 → 42 (-1)
presetScenarios.ts | ACLS 4 — TV Inestable | Paso 4 | rr: 25 → 24 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 1 | hr: 182 → 181 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 1 | systolic: 108 → 109 (+1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 1 | diastolic: 72 → 73 (+1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 1 | spo2: 97 → 96 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 2 | spo2: 94 → 95 (+1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 2 | etco2: 18 → 17 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 2 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 3 | spo2: 80 → 79 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 3 | etco2: 7 → 6 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 3 | rr: 12 → 11 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 4 | hr: 26 → 25 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 4 | systolic: 37 → 36 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 4 | diastolic: 24 → 23 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 4 | spo2: 96 → 97 (+1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 4 | etco2: 20 → 19 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 4 | rr: 12 → 13 (+1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 5 | hr: 70 → 69 (-1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 5 | systolic: 74 → 75 (+1)
presetScenarios.ts | ACLS 5 — TV Estable | Paso 5 | diastolic: 58 → 59 (+1)
